Execution started at: 2025-04-28 23:18:35.169163

Name                RID
FSRWAPPS1000001     30866
OGCWDBAS1000000     30867
BDEWVIR1000000      30868
ESMWSECS1000002     30869
FINWAPPS1000000     30870
FSRWVIR1000001      30871
BDEWAPPS1000002     30872
ITSWCTRX1000001     30873
ESMWDBAS1000000     30874
OGCWLPT1000000      30875
AZRWVIR1000000      30876
TSTWCTRX1000001     30877
FINWVIR1000003      30878
SECWAPPS1000001     30879
OGCWLPT1000001      30880
HREWDBAS1000000     30881
TSTWAPPS1000000     30882
HREWCTRX1000002     30883
BDEWVIR1000001      30884
GOOWLPT1000001      30885
OGCWWKS1000000      30886
TSTWLPT1000000      30887
AZRWWKS1000001      30888
TSTWWKS1000002      30889
OGCWLPT1000002      30890
ESMWAPPS1000000     30891
AZRWAPPS1000001     30892
GOOWWKS1000000      30893
SECWVIR1000001      30894
GOOWWKS1000001      30895
FINWWKS1000001      30896
AZRWDBAS1000000     30897
ESMWWKS1000002      30898
ITSWVIR1000001      30899
GOOWLPT1000002      30900
AWSWDBAS1000000     30901
ESMWVIR1000001      30902
FSRWLPT1000000      30903
ESMWLPT1000000      30904
BDEWAPPS1000003     30905
GOOWWKS1000002      30906
TSTWCTRX1000002     30907
ESMWSECS1000003     30908
GOOWDBAS1000000     30909
HREWWEBS1000000     30910
ITSWVIR1000002      30911
GOOWAPPS1000002     30912
FINWSECS1000000     30913
GOOWLPT1000003      30914
OGCWLPT1000003      30915
BDEWAPPS1000004     30916
FSRWVIR1000002      30917
FINWAPPS1000001     30918
ITSWDBAS1000000     30919
SECWWKS1000001      30920
FSRWVIR1000003      30921
ESMWCTRX1000001     30922
ESMWVIR1000002      30923
AWSWWKS1000001      30924
GOOWAPPS1000003     30925
SECWVIR1000002      30926
AZRWSECS1000000     30927
FINWWKS1000002      30928
AZRWDBAS1000001     30929
BDEWVIR1000002      30930
GOOWSECS1000001     30931
GOOWDBAS1000001     30932
HREWAPPS1000002     30933
AZRWAPPS1000002     30934
GOOWLPT1000004      30935
ITSWVIR1000003      30936
OGCWWEBS1000001     30937
SECWSECS1000000     30938
TSTWWKS1000003      30939
GOOWLPT1000005      30940
ESMWCTRX1000002     30941
GOOWDBAS1000002     30942
OGCWVIR1000000      30943
AZRWDBAS1000002     30944
HREWDBAS1000001     30945
OGCWLPT1000004      30946
HREWWKS1000001      30947
FINWVIR1000004      30948
AZRWWEBS1000000     30949
SECWVIR1000003      30950
SECWLPT1000002      30951
AZRWWKS1000002      30952
SECWWEBS1000000     30953
TSTWVIR1000002      30954
SECWWKS1000002      30955
FSRWWKS1000001      30956
ITSWDBAS1000001     30957
BDEWWKS1000001      30958
ESMWSECS1000004     30959
AWSWVIR1000002      30960
HREWAPPS1000003     30961
ITSWVIR1000004      30962
BDEWSECS1000001     30963
AZRWSECS1000001     30964
TSTWLPT1000001      30965
BDEWWEBS1000001     30966
FINWVIR1000005      30967
AZRWDBAS1000003     30968
ITSWVIR1000005      30969
AWSWAPPS1000001     30970
FINWAPPS1000002     30971
TSTWAPPS1000001     30972
ITSWWEBS1000000     30973
FSRWVIR1000004      30974
FINWWKS1000003      30975
GOOWVIR1000001      30976
ITSWCTRX1000002     30977
TSTWAPPS1000002     30978
TSTWWKS1000004      30979
TSTWDBAS1000000     30980
GOOWDBAS1000003     30981
SECWLPT1000003      30982
ITSWLPT1000001      30983
TSTWWKS1000005      30984
OGCWVIR1000001      30985
ITSWWKS1000002      30986
TSTWWEBS1000000     30987
SECWAPPS1000002     30988
AWSWVIR1000003      30989
ITSWCTRX1000003     30990
GOOWCTRX1000000     30991
SECWLPT1000004      30992
TSTWWEBS1000001     30993
ESMWWKS1000003      30994
OGCWDBAS1000001     30995
AZRWLPT1000000      30996
OGCWVIR1000002      30997
AWSWCTRX1000003     30998
AZRWCTRX1000000     30999
ESMWWKS1000004      31000
HREWWKS1000002      31001
ITSWAPPS1000001     31002
BDEWSECS1000002     31003
AWSWLPT1000000      31004
ITSWLPT1000002      31005
AZRWDBAS1000004     31006
SECWVIR1000004      31007
BDEWLPT1000002      31008
ESMWLPT1000001      31009
OGCWLPT1000005      31010
HREWWKS1000003      31011
ITSWVIR1000006      31012
GOOWWEBS1000000     31013
GOOWDBAS1000004     31014
OGCWAPPS1000001     31015
OGCWAPPS1000002     31016
BDEWVIR1000003      31017
ITSWWKS1000003      31018
TSTWAPPS1000003     31019
AWSWSECS1000000     31020
ESMWVIR1000003      31021
HREWAPPS1000004     31022
SECWCTRX1000001     31023
ITSWLPT1000003      31024
BDEWDBAS1000001     31025
FSRWWEBS1000001     31026
FSRWWEBS1000002     31027
TSTWWKS1000006      31028
ESMWWEBS1000000     31029
OGCWWKS1000001      31030
SECWWEBS1000001     31031
FINWVIR1000006      31032
FINWAPPS1000003     31033
ESMWCTRX1000003     31034
GOOWVIR1000002      31035
SECWLPT1000005      31036
FINWAPPS1000004     31037
HREWAPPS1000005     31038
ITSWVIR1000007      31039
ITSWCTRX1000004     31040
GOOWSECS1000002     31041
BDEWVIR1000004      31042
SECWSECS1000001     31043
BDEWAPPS1000005     31044
SECWAPPS1000003     31045
AWSWAPPS1000002     31046
HREWWEBS1000001     31047
BDEWVIR1000005      31048
FINWVIR1000007      31049
ITSWWKS1000004      31050
ITSWLPT1000004      31051
ITSWWKS1000005      31052
FINWWEBS1000000     31053
SECWLPT1000006      31054
TSTWAPPS1000004     31055
OGCWAPPS1000003     31056
BDEWAPPS1000006     31057
HREWAPPS1000006     31058
HREWVIR1000003      31059
ITSWLPT1000005      31060
AZRWLPT1000001      31061
OGCWWEBS1000002     31062
ESMWVIR1000004      31063
FSRWWEBS1000003     31064
AWSWWEBS1000001     31065
GOOWVIR1000003      31066
SECWVIR1000005      31067
SECWLPT1000007      31068
TSTWSECS1000000     31069
FSRWVIR1000005      31070
BDEWSECS1000003     31071
HREWDBAS1000002     31072
FSRWWKS1000002      31073
FINWAPPS1000005     31074
OGCWAPPS1000004     31075
OGCWWKS1000002      31076
ITSWWKS1000006      31077
SECWAPPS1000004     31078
HREWVIR1000004      31079
ESMWVIR1000005      31080
AWSWVIR1000004      31081
TSTWWEBS1000002     31082
SECWDBAS1000001     31083
ESMWVIR1000006      31084
FINWLPT1000000      31085
AZRWCTRX1000001     31086
FSRWWKS1000003      31087
OGCWVIR1000003      31088
GOOWAPPS1000004     31089
OGCWWEBS1000003     31090
OGCWVIR1000004      31091
HREWLPT1000003      31092
ITSWSECS1000002     31093
AZRWWKS1000003      31094
SECWWKS1000003      31095
GOOWSECS1000003     31096
HREWCTRX1000003     31097
TSTWLPT1000002      31098
AWSWWEBS1000002     31099
OGCWWEBS1000004     31100
ITSWWKS1000007      31101
AWSWWEBS1000003     31102
TSTWDBAS1000001     31103
SECWLPT1000008      31104
TSTWCTRX1000003     31105
ESMWWEBS1000001     31106
BDEWVIR1000006      31107
GOOWAPPS1000005     31108
ESMWLPT1000002      31109
AWSWLPT1000001      31110
OGCWLPT1000006      31111
AZRWSECS1000002     31112
SECWVIR1000006      31113
ITSWVIR1000008      31114
AWSWAPPS1000003     31115
GOOWWEBS1000001     31116
ITSWDBAS1000002     31117
AZRWDBAS1000005     31118
AWSWCTRX1000004     31119
AWSWSECS1000001     31120
GOOWSECS1000004     31121
BDEWLPT1000003      31122
AWSWAPPS1000004     31123
BDEWLPT1000004      31124
SECWAPPS1000005     31125
BDEWVIR1000007      31126
AWSWLPT1000002      31127
GOOWWKS1000003      31128
ESMWVIR1000007      31129
SECWSECS1000002     31130
GOOWLPT1000006      31131
AZRWDBAS1000006     31132
AZRWWEBS1000001     31133
AWSWAPPS1000005     31134
BDEWCTRX1000000     31135
OGCWAPPS1000005     31136
OGCWAPPS1000006     31137
SECWLPT1000009      31138
HREWDBAS1000003     31139
AZRWSECS1000003     31140
ESMWCTRX1000004     31141
FSRWDBAS1000001     31142
AZRWDBAS1000007     31143
AWSWVIR1000005      31144
AZRWWKS1000004      31145
AZRWAPPS1000003     31146
BDEWAPPS1000007     31147
OGCWCTRX1000001     31148
AWSWVIR1000006      31149
TSTWAPPS1000005     31150
SECWLPT1000010      31151
OGCWAPPS1000007     31152
TSTWWKS1000007      31153
SECWCTRX1000002     31154
OGCWWEBS1000005     31155
ESMWAPPS1000001     31156
ESMWAPPS1000002     31157
ITSWDBAS1000003     31158
TSTWDBAS1000002     31159
OGCWWKS1000003      31160
ESMWVIR1000008      31161
ESMWVIR1000009      31162
SECWDBAS1000002     31163
GOOWCTRX1000001     31164
AWSWLPT1000003      31165
FINWSECS1000001     31166
ITSWVIR1000009      31167
OGCWVIR1000005      31168
ITSWWKS1000008      31169
AZRWWEBS1000002     31170
FSRWDBAS1000002     31171
TSTWSECS1000001     31172
SECWWEBS1000002     31173
AZRWWKS1000005      31174
AWSWWEBS1000004     31175
AZRWVIR1000001      31176
AWSWVIR1000007      31177
AZRWDBAS1000008     31178
ITSWVIR1000010      31179
AWSWDBAS1000001     31180
ESMWLPT1000003      31181
FINWWKS1000004      31182
BDEWDBAS1000002     31183
BDEWVIR1000008      31184
BDEWWEBS1000002     31185
FSRWLPT1000001      31186
OGCWWKS1000004      31187
AWSWLPT1000004      31188
OGCWAPPS1000008     31189
BDEWLPT1000005      31190
ITSWVIR1000011      31191
AWSWWKS1000002      31192
FSRWAPPS1000002     31193
TSTWWEBS1000003     31194
BDEWAPPS1000008     31195
GOOWVIR1000004      31196
BDEWAPPS1000009     31197
AZRWVIR1000002      31198
BDEWDBAS1000003     31199
FSRWLPT1000002      31200
GOOWLPT1000007      31201
TSTWSECS1000002     31202
FINWAPPS1000006     31203
AWSWWKS1000003      31204
HREWSECS1000000     31205
AWSWLPT1000005      31206
TSTWWEBS1000004     31207
TSTWDBAS1000003     31208
BDEWDBAS1000004     31209
OGCWWEBS1000006     31210
OGCWWKS1000005      31211
TSTWLPT1000003      31212
GOOWWEBS1000002     31213
FINWVIR1000008      31214
ESMWAPPS1000003     31215
ITSWLPT1000006      31216
AWSWCTRX1000005     31217
ITSWDBAS1000004     31218
SECWAPPS1000006     31219
GOOWDBAS1000005     31220
FSRWWKS1000004      31221
OGCWWKS1000006      31222
HREWSECS1000001     31223
AWSWWEBS1000005     31224
FSRWVIR1000006      31225
BDEWAPPS1000010     31226
GOOWVIR1000005      31227
TSTWSECS1000003     31228
SECWLPT1000011      31229
OGCWWKS1000007      31230
OGCWVIR1000006      31231
SECWWEBS1000003     31232
ITSWWEBS1000001     31233
BDEWSECS1000004     31234
HREWWKS1000004      31235
GOOWCTRX1000002     31236
FSRWWEBS1000004     31237
SECWLPT1000012      31238
OGCWAPPS1000009     31239
AWSWWEBS1000006     31240
OGCWWKS1000008      31241
OGCWDBAS1000002     31242
SECWLPT1000013      31243
OGCWCTRX1000002     31244
BDEWWKS1000002      31245
HREWAPPS1000007     31246
FINWLPT1000001      31247
TSTWWEBS1000005     31248
AWSWDBAS1000002     31249
TSTWWKS1000008      31250
AWSWAPPS1000006     31251
OGCWWEBS1000007     31252
FINWDBAS1000003     31253
FSRWWEBS1000005     31254
FSRWLPT1000003      31255
HREWVIR1000005      31256
FSRWAPPS1000003     31257
SECWLPT1000014      31258
AWSWAPPS1000007     31259
HREWWKS1000005      31260
AWSWWKS1000004      31261
FINWWKS1000005      31262
SECWCTRX1000003     31263
OGCWAPPS1000010     31264
AWSWLPT1000006      31265
AWSWWKS1000005      31266
HREWVIR1000006      31267
FSRWWKS1000005      31268
TSTWWEBS1000006     31269
BDEWCTRX1000001     31270
TSTWWKS1000009      31271
SECWAPPS1000007     31272
SECWWKS1000004      31273
ESMWLPT1000004      31274
GOOWAPPS1000006     31275
BDEWVIR1000009      31276
ITSWCTRX1000005     31277
BDEWCTRX1000002     31278
FINWCTRX1000001     31279
FINWDBAS1000004     31280
TSTWVIR1000003      31281
ITSWDBAS1000005     31282
OGCWLPT1000007      31283
HREWWKS1000006      31284
ITSWVIR1000012      31285
GOOWWKS1000004      31286
TSTWVIR1000004      31287
GOOWLPT1000008      31288
AZRWWEBS1000003     31289
ESMWLPT1000005      31290
AZRWWKS1000006      31291
OGCWWEBS1000008     31292
AZRWWKS1000007      31293
BDEWAPPS1000011     31294
SECWAPPS1000008     31295
ESMWAPPS1000004     31296
ITSWWKS1000009      31297
AWSWAPPS1000008     31298
AWSWWEBS1000007     31299
SECWLPT1000015      31300
AWSWLPT1000007      31301
FINWLPT1000002      31302
TSTWWKS1000010      31303
OGCWLPT1000008      31304
BDEWCTRX1000003     31305
AWSWAPPS1000009     31306
HREWSECS1000002     31307
ESMWWEBS1000002     31308
FINWAPPS1000007     31309
AWSWWKS1000006      31310
ITSWVIR1000013      31311
GOOWAPPS1000007     31312
FINWWKS1000006      31313
FSRWVIR1000007      31314
TSTWWKS1000011      31315
FSRWWEBS1000006     31316
GOOWSECS1000005     31317
FSRWDBAS1000003     31318
AWSWWKS1000007      31319
ITSWVIR1000014      31320
AWSWCTRX1000006     31321
OGCWLPT1000009      31322
FSRWWEBS1000007     31323
TSTWSECS1000004     31324
AWSWSECS1000002     31325
AWSWAPPS1000010     31326
TSTWVIR1000005      31327
FSRWVIR1000008      31328
ITSWWEBS1000002     31329
AWSWLPT1000008      31330
TSTWAPPS1000006     31331
ESMWCTRX1000005     31332
ITSWLPT1000007      31333
GOOWLPT1000009      31334
TSTWCTRX1000004     31335
FSRWVIR1000009      31336
AZRWWKS1000008      31337
TSTWVIR1000006      31338
HREWAPPS1000008     31339
FINWVIR1000009      31340
BDEWLPT1000006      31341
AWSWLPT1000009      31342
FINWSECS1000002     31343
TSTWDBAS1000004     31344
OGCWWKS1000009      31345
HREWWKS1000007      31346
AWSWSECS1000003     31347
FSRWLPT1000004      31348
TSTWWKS1000012      31349
FSRWWKS1000006      31350
GOOWVIR1000006      31351
TSTWVIR1000007      31352
ESMWSECS1000005     31353
AZRWLPT1000002      31354
BDEWWEBS1000003     31355
AWSWVIR1000008      31356
BDEWVIR1000010      31357
TSTWAPPS1000007     31358
AWSWAPPS1000011     31359
FSRWDBAS1000004     31360
GOOWAPPS1000008     31361
BDEWAPPS1000012     31362
OGCWWKS1000010      31363
AZRWLPT1000003      31364
ITSWCTRX1000006     31365
FSRWSECS1000000     31366
AZRWAPPS1000004     31367
TSTWCTRX1000005     31368
OGCWDBAS1000003     31369
ITSWAPPS1000002     31370
HREWCTRX1000004     31371
ESMWSECS1000006     31372
HREWWKS1000008      31373
FSRWLPT1000005      31374
ITSWAPPS1000003     31375
ESMWSECS1000007     31376
OGCWAPPS1000011     31377
ITSWDBAS1000006     31378
HREWWEBS1000002     31379
ITSWAPPS1000004     31380
SECWLPT1000016      31381
AWSWAPPS1000012     31382
HREWWKS1000009      31383
TSTWVIR1000008      31384
GOOWCTRX1000003     31385
FINWCTRX1000002     31386
GOOWLPT1000010      31387
ITSWWEBS1000003     31388
AWSWWKS1000008      31389
ESMWDBAS1000001     31390
HREWCTRX1000005     31391
AWSWAPPS1000013     31392
ESMWCTRX1000006     31393
FSRWLPT1000006      31394
FINWCTRX1000003     31395
AZRWAPPS1000005     31396
ITSWVIR1000015      31397
FSRWDBAS1000005     31398
FSRWLPT1000007      31399
GOOWVIR1000007      31400
OGCWWKS1000011      31401
ESMWAPPS1000005     31402
FINWLPT1000003      31403
FINWWKS1000007      31404
SECWDBAS1000003     31405
FSRWAPPS1000004     31406
FSRWWKS1000007      31407
FINWCTRX1000004     31408
FINWVIR1000010      31409
FINWDBAS1000005     31410
TSTWAPPS1000008     31411
TSTWVIR1000009      31412
TSTWLPT1000004      31413
OGCWCTRX1000003     31414
GOOWAPPS1000009     31415
SECWWKS1000005      31416
FSRWAPPS1000005     31417
AWSWVIR1000009      31418
AZRWVIR1000003      31419
FSRWDBAS1000006     31420
HREWAPPS1000009     31421
AWSWWKS1000009      31422
BDEWLPT1000007      31423
AWSWVIR1000010      31424
TSTWDBAS1000005     31425
ESMWDBAS1000002     31426
FINWWKS1000008      31427
ESMWLPT1000006      31428
ESMWLPT1000007      31429
ITSWWEBS1000004     31430
GOOWAPPS1000010     31431
SECWAPPS1000009     31432
AZRWWKS1000009      31433
OGCWVIR1000007      31434
AZRWLPT1000004      31435
AZRWSECS1000004     31436
GOOWWKS1000005      31437
AWSWCTRX1000007     31438
ESMWAPPS1000006     31439
OGCWWKS1000012      31440
ESMWAPPS1000007     31441
ESMWLPT1000008      31442
OGCWLPT1000010      31443
ESMWVIR1000010      31444
TSTWSECS1000005     31445
GOOWLPT1000011      31446
SECWSECS1000003     31447
SECWLPT1000017      31448
AWSWWKS1000010      31449
FSRWWKS1000008      31450
FINWVIR1000011      31451
FSRWLPT1000008      31452
OGCWLPT1000011      31453
AWSWVIR1000011      31454
SECWLPT1000018      31455
FSRWVIR1000010      31456
SECWDBAS1000004     31457
AWSWWKS1000011      31458
SECWLPT1000019      31459
FSRWSECS1000001     31460
ESMWLPT1000009      31461
OGCWAPPS1000012     31462
GOOWLPT1000012      31463
ITSWCTRX1000007     31464
HREWCTRX1000006     31465
BDEWSECS1000005     31466
BDEWDBAS1000005     31467
SECWLPT1000020      31468
FSRWSECS1000002     31469
ITSWWKS1000010      31470
ITSWVIR1000016      31471
SECWWEBS1000004     31472
ESMWSECS1000008     31473
AZRWDBAS1000009     31474
BDEWDBAS1000006     31475
HREWWEBS1000003     31476
AWSWCTRX1000008     31477
ITSWAPPS1000005     31478
ITSWSECS1000003     31479
HREWAPPS1000010     31480
ESMWWEBS1000003     31481
AZRWSECS1000005     31482
HREWCTRX1000007     31483
AZRWLPT1000005      31484
OGCWAPPS1000013     31485
GOOWAPPS1000011     31486
ITSWWEBS1000005     31487
BDEWAPPS1000013     31488
SECWWEBS1000005     31489
FSRWLPT1000009      31490
GOOWWKS1000006      31491
OGCWLPT1000012      31492
SECWAPPS1000010     31493
SECWWKS1000006      31494
TSTWAPPS1000009     31495
FINWAPPS1000008     31496
GOOWWKS1000007      31497
GOOWDBAS1000006     31498
TSTWWKS1000013      31499
ITSWCTRX1000008     31500
AWSWWKS1000012      31501
FINWLPT1000004      31502
OGCWAPPS1000014     31503
ITSWAPPS1000006     31504
GOOWVIR1000008      31505
FSRWDBAS1000007     31506
FSRWWKS1000009      31507
AZRWWEBS1000004     31508
TSTWWKS1000014      31509
AZRWAPPS1000006     31510
OGCWAPPS1000015     31511
AZRWLPT1000006      31512
BDEWDBAS1000007     31513
HREWCTRX1000008     31514
ESMWCTRX1000007     31515
BDEWAPPS1000014     31516
OGCWCTRX1000004     31517
AZRWLPT1000007      31518
FSRWSECS1000003     31519
FINWCTRX1000005     31520
TSTWWKS1000015      31521
AWSWDBAS1000003     31522
ESMWAPPS1000008     31523
ESMWAPPS1000009     31524
ESMWSECS1000009     31525
GOOWSECS1000006     31526
ESMWWKS1000005      31527
OGCWCTRX1000005     31528
FSRWAPPS1000006     31529
TSTWWEBS1000007     31530
AZRWLPT1000008      31531
ESMWSECS1000010     31532
TSTWCTRX1000006     31533
FSRWWEBS1000008     31534
SECWLPT1000021      31535
HREWLPT1000004      31536
AWSWCTRX1000009     31537
AZRWVIR1000004      31538
SECWWEBS1000006     31539
FINWSECS1000003     31540
ITSWAPPS1000007     31541
ITSWSECS1000004     31542
FSRWVIR1000011      31543
GOOWSECS1000007     31544
GOOWAPPS1000012     31545
HREWWKS1000010      31546
AZRWVIR1000005      31547
ESMWLPT1000010      31548
AWSWCTRX1000010     31549
AWSWLPT1000010      31550
GOOWVIR1000009      31551
TSTWAPPS1000010     31552
SECWLPT1000022      31553
FSRWAPPS1000007     31554
BDEWWKS1000003      31555
SECWLPT1000023      31556
AWSWAPPS1000014     31557
BDEWWKS1000004      31558
FINWWKS1000009      31559
OGCWDBAS1000004     31560
HREWLPT1000005      31561
BDEWDBAS1000008     31562
TSTWCTRX1000007     31563
ESMWVIR1000011      31564
FINWAPPS1000009     31565
GOOWCTRX1000004     31566
TSTWLPT1000005      31567
BDEWSECS1000006     31568
GOOWLPT1000013      31569
SECWAPPS1000011     31570
FSRWWKS1000010      31571
GOOWAPPS1000013     31572
FINWLPT1000005      31573
FINWLPT1000006      31574
ITSWCTRX1000009     31575
AZRWWKS1000010      31576
OGCWAPPS1000016     31577
ITSWAPPS1000008     31578
AZRWVIR1000006      31579
FINWWKS1000010      31580
HREWDBAS1000004     31581
ITSWVIR1000017      31582
AWSWAPPS1000015     31583
ITSWVIR1000018      31584
FINWLPT1000007      31585
HREWVIR1000007      31586
ITSWDBAS1000007     31587
TSTWCTRX1000008     31588
BDEWCTRX1000004     31589
ESMWAPPS1000010     31590
FINWDBAS1000006     31591
OGCWLPT1000013      31592
OGCWCTRX1000006     31593
ESMWVIR1000012      31594
HREWSECS1000003     31595
AWSWAPPS1000016     31596
FSRWSECS1000004     31597
HREWVIR1000008      31598
AZRWLPT1000009      31599
FSRWDBAS1000008     31600
GOOWLPT1000014      31601
GOOWVIR1000010      31602
BDEWCTRX1000005     31603
AZRWDBAS1000010     31604
OGCWLPT1000014      31605
ITSWAPPS1000009     31606
GOOWWEBS1000003     31607
ITSWDBAS1000008     31608
TSTWWEBS1000008     31609
AWSWSECS1000004     31610
SECWWKS1000007      31611
OGCWAPPS1000017     31612
GOOWVIR1000011      31613
FSRWWKS1000011      31614
AZRWAPPS1000007     31615
ESMWLPT1000011      31616
GOOWWEBS1000004     31617
AZRWVIR1000007      31618
OGCWVIR1000008      31619
HREWVIR1000009      31620
AZRWSECS1000006     31621
FINWVIR1000012      31622
FSRWAPPS1000008     31623
GOOWAPPS1000014     31624
SECWLPT1000024      31625
TSTWWKS1000016      31626
AZRWWKS1000011      31627
GOOWDBAS1000007     31628
OGCWVIR1000009      31629
ESMWSECS1000011     31630
TSTWLPT1000006      31631
FSRWWKS1000012      31632
SECWLPT1000025      31633
OGCWAPPS1000018     31634
FINWVIR1000013      31635
FSRWVIR1000012      31636
OGCWSECS1000000     31637
ESMWDBAS1000003     31638
FINWWKS1000011      31639
GOOWVIR1000012      31640
OGCWLPT1000015      31641
HREWDBAS1000005     31642
AWSWAPPS1000017     31643
SECWAPPS1000012     31644
GOOWLPT1000015      31645
OGCWCTRX1000007     31646
FINWWEBS1000001     31647
FINWWKS1000012      31648
AWSWWKS1000013      31649
FINWDBAS1000007     31650
BDEWLPT1000008      31651
AWSWVIR1000012      31652
ESMWSECS1000012     31653
FINWCTRX1000006     31654
FINWWKS1000013      31655
TSTWDBAS1000006     31656
GOOWAPPS1000015     31657
ITSWWEBS1000006     31658
ESMWVIR1000013      31659
HREWAPPS1000011     31660
BDEWDBAS1000009     31661
OGCWCTRX1000008     31662
BDEWSECS1000007     31663
HREWWEBS1000004     31664
FINWWKS1000014      31665
OGCWAPPS1000019     31666
ITSWDBAS1000009     31667
SECWVIR1000007      31668
FSRWAPPS1000009     31669
ITSWAPPS1000010     31670
BDEWCTRX1000006     31671
GOOWLPT1000016      31672
HREWVIR1000010      31673
AZRWLPT1000010      31674
AZRWWKS1000012      31675
FSRWVIR1000013      31676
SECWDBAS1000005     31677
ITSWLPT1000008      31678
GOOWCTRX1000005     31679
AZRWWEBS1000005     31680
HREWCTRX1000009     31681
BDEWAPPS1000015     31682
FINWAPPS1000010     31683
AWSWAPPS1000018     31684
AWSWLPT1000011      31685
HREWWKS1000011      31686
AZRWSECS1000007     31687
ITSWVIR1000019      31688
ITSWWEBS1000007     31689
AZRWDBAS1000011     31690
AZRWDBAS1000012     31691
BDEWWKS1000005      31692
TSTWDBAS1000007     31693
BDEWDBAS1000010     31694
GOOWCTRX1000006     31695
FSRWSECS1000005     31696
HREWVIR1000011      31697
FSRWVIR1000014      31698
AZRWAPPS1000008     31699
FINWWKS1000015      31700
OGCWWKS1000013      31701
AZRWAPPS1000009     31702
ESMWWKS1000006      31703
AWSWLPT1000012      31704
GOOWAPPS1000016     31705
TSTWDBAS1000008     31706
AZRWVIR1000008      31707
ESMWVIR1000014      31708
TSTWLPT1000007      31709
AZRWCTRX1000002     31710
SECWVIR1000008      31711
GOOWCTRX1000007     31712
ITSWSECS1000005     31713
OGCWVIR1000010      31714
AZRWVIR1000009      31715
AZRWLPT1000011      31716
SECWWEBS1000007     31717
BDEWWEBS1000004     31718
GOOWLPT1000017      31719
AZRWVIR1000010      31720
OGCWVIR1000011      31721
GOOWWKS1000008      31722
GOOWVIR1000013      31723
ITSWWKS1000011      31724
BDEWLPT1000009      31725
AWSWCTRX1000011     31726
TSTWSECS1000006     31727
BDEWVIR1000011      31728
AZRWDBAS1000013     31729
ITSWCTRX1000010     31730
ESMWAPPS1000011     31731
SECWAPPS1000013     31732
TSTWAPPS1000011     31733
ESMWWEBS1000004     31734
AZRWWKS1000013      31735
TSTWWKS1000017      31736
BDEWCTRX1000007     31737
BDEWCTRX1000008     31738
FINWWEBS1000002     31739
TSTWSECS1000007     31740
SECWSECS1000004     31741
TSTWVIR1000010      31742
ITSWSECS1000006     31743
FSRWVIR1000015      31744
ITSWWEBS1000008     31745
ESMWVIR1000015      31746
FINWWKS1000016      31747
SECWWKS1000008      31748
TSTWWEBS1000009     31749
FSRWAPPS1000010     31750
FSRWVIR1000016      31751
TSTWLPT1000008      31752
ITSWSECS1000007     31753
AWSWWKS1000014      31754
FSRWDBAS1000009     31755
AZRWVIR1000011      31756
BDEWVIR1000012      31757
FINWWKS1000017      31758
AWSWLPT1000013      31759
SECWLPT1000026      31760
ITSWCTRX1000011     31761
GOOWAPPS1000017     31762
ITSWVIR1000020      31763
OGCWVIR1000012      31764
SECWAPPS1000014     31765
FSRWVIR1000017      31766
AWSWWKS1000015      31767
OGCWWEBS1000009     31768
